,Title,Release Year,RT_score,URL,Director,Cast,Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Sound Mix,Aspect Ratio,audience_score,number_audience_reviews,Rerelease Date (Theaters)
11,Past Lives,2023,95%,https://www.rottentomatoes.com/m/past_lives,Celine Song,"Greta Lee,Teo Yoo,John Magaro,Seung-ah Moon",Celine Song,"David Hinojosa,Christine Vachon,Pamela Koffler",Celine Song,A24,"The Searchers NV,Killer Films,2AM,A24,CJ ENM Co.",PG-13 (Some Strong Language),"Romance,Drama",English,"Jun 30, 2023, Wide","Aug 22, 2023",$9.9M,1h 46m,Dolby Digital,Flat (1.85:1),84%,"2,500+ Ratings",
12,Talk to Me,2023,95%,https://www.rottentomatoes.com/m/talk_to_me_2023,Danny Philippou,"Sophie Wilde,Miranda Otto,Otis Dhanji,Alexandra Jensen","Danny Philippou,Michael Philippou","Samantha Jennings,Kristina Ceyton","Bill Hinzman,Danny Philippou",A24,"The South Australian Film Corporation,Screen Australia,Causeway Films,Metrol Technology,Première TV Distribution,Head Gear Films,Talk to Me Holdings",R (Some Sexual Material|Language Throughout|Strong/Bloody Violent Content),"Horror,Mystery & Thriller",English,"Jul 28, 2023, Wide","Sep 12, 2023",$47.6M,1h 35m,Dolby Digital,Digital 2.39:1,82%,"1,000+ Verified Ratings",
13,The Eternal Daughter,2022,95%,https://www.rottentomatoes.com/m/the_eternal_daughter,Joanna Hogg,"Tilda Swinton,Joseph Mydell,Carly-Sophia Davies",Joanna Hogg,"Ed Guiney,Andrew Lowe,Emma Norton,Joanna Hogg",Joanna Hogg,A24,"Element Pictures,Cineart,JWH Films",PG-13 (Some Drug Material),"Mystery & Thriller,Drama",English,"Dec 2, 2022, Limited","Dec 2, 2022",$28.0K,1h 36m,Dolby Digital,,44%,100+ Ratings,
14,Menashe,2017,95%,https://www.rottentomatoes.com/m/menashe,Joshua Z Weinstein,"Menashe Lustig,Ruben Niborski,Yoel Weisshaus,Meir Ber Schwartz",Joshua Z Weinstein,"Yoni Brook,Traci Carlson,Daniel Finkelman,Alex Lipschultz,Joshua Z Weinstein","Alex Lipschultz,Musa Syeed,Joshua Z Weinstein",A24,Shtick Film,PG (Thematic Elements),"Comedy,Drama",Yiddish,"Jul 28, 2017, Limited","Oct 10, 2017",$1.7M,1h 22m,,,65%,"1,000+ Ratings",
15,De Palma,2015,95%,https://www.rottentomatoes.com/m/de_palma,Noah Baumbach,Brian De Palma,"Noah Baumbach,Jake Paltrow","Noah Baumbach,Jake Paltrow",,A24,Empire Ward,R (Sexual Content|Graphic Nudity|Some Language|Violent Images),Documentary,English,"Jun 10, 2016, Limited","Aug 23, 2016",$163.4K,1h 48m,,,86%,"1,000+ Ratings",
16,Krisha,2015,95%,https://www.rottentomatoes.com/m/krisha_2016,Trey Edward Shults,"Krisha Fairchild,Robyn Fairchild,Bill Wise,Chris Doubek",Trey Edward Shults,"Justin R. Chan,Trey Edward Shults,Wilson Smith,Chase Joliet",Trey Edward Shults,A24,,R (Language|Substance Abuse|Some Sexual Content),"Holiday,Drama",English,"Mar 18, 2016, Limited","Aug 16, 2016",$140.8K,1h 23m,Dolby Digital,,77%,"1,000+ Ratings",
17,First Reformed,2017,94%,https://www.rottentomatoes.com/m/first_reformed,Paul Schrader,"Ethan Hawke,Amanda Seyfried,Philip Ettinger,Cedric the Entertainer",Paul Schrader,"Christine Vachon,David Hinojosa,Frank Murray,Jack Binder,Greg Clark,Victoria Hill,Gary Hamilton,Deepak Sikka",Paul Schrader,A24,"Killer Films,Fibonacci Films,Omeira Studio Partners",R (Some Disturbing Violent Images),"Mystery & Thriller,Drama",English,"May 18, 2018, Limited","Jul 31, 2018",$3.4M,1h 53m,,,69%,"2,500+ Ratings",
18,X,2022,94%,https://www.rottentomatoes.com/m/x_2022,Ti West,"Mia Goth,Jenna Ortega,Martin Henderson,Brittany Snow",Ti West,"Jacob Jaffke,Kevin Turen,Harrison Kreiss",Ti West,A24,"A24,MAD SOLAR,BRON Creative",R (Gore|Drug Use|Strong Sexual Content|Graphic Nudity|Language|Strong Bloody Violence),"Horror,Mystery & Thriller",English,"Mar 18, 2022, Wide","Apr 14, 2022",$11.6M,1h 45m,,,75%,500+ Verified Ratings,"Jun 18, 2024"
19,You Hurt My Feelings,2023,94%,https://www.rottentomatoes.com/m/you_hurt_my_feelings_2023,Nicole Holofcener,"Julia Louis-Dreyfus,Tobias Menzies,Michaela Watkins,Arian Moayed",Nicole Holofcener,"Stefanie Azpiazu,Anthony Bregman,Nicole Holofcener,Julia Louis-Dreyfus",Nicole Holofcener,A24,"FilmNation Entertainment,Likely Story",R (Language),"Comedy,Drama,Romance",English,"May 26, 2023, Wide","Jun 22, 2023",$3.8M,1h 33m,Dolby Digital,,64%,250+ Verified Ratings,
20,C'mon C'mon,2021,94%,https://www.rottentomatoes.com/m/cmon_cmon,Mike Mills,"Joaquin Phoenix,Gaby Hoffmann,Woody Norman,Scoot McNairy",Mike Mills,"Andrea Longacre-White,Lila Yacoub,Chelsea Barnard",Mike Mills,A24,"A24,BRON Creative",R (Language),Drama,English,"Nov 19, 2021, Limited","Dec 23, 2021",$1.5M,1h 48m,Dolby Digital,,78%,500+ Ratings,
