Title,Release Year,RT_score,URL,Director,Cast
Dream Scenario,2023,91%,https://www.rottentomatoes.com/m/dream_scenario,Kristoffer Borgli,"Nicolas Cage,Lily Bird,Julianne Nicholson,Jessica Clement"
Locke,2013,91%,https://www.rottentomatoes.com/m/locke,Steven Knight,"Tom Hardy,Ruth Wilson,Andrew Scott,Tom Holland"
The Spectacular Now,2013,91%,https://www.rottentomatoes.com/m/the_spectacular_now,James Ponsoldt,"Miles Teller,Shailene Woodley,Brie Larson,Jennifer Jason Leigh"
Close,2022,91%,https://www.rottentomatoes.com/m/close_2022,Lukas Dhont,"Eden Dambrine,Gustav De Waele,Émilie Dequenne,Léa Drucker"
Mississippi Grind,2015,91%,https://www.rottentomatoes.com/m/mississippi_grind,Ryan Fleck,"Ryan Reynolds,Ben Mendelsohn,Sienna Miller,Lio Tipton"
The Lighthouse,2019,90%,https://www.rottentomatoes.com/m/the_lighthouse_2019,Robert Eggers,"Robert Pattinson,Willem Dafoe,Valeriia Karaman,Logan Hawkes"
Hereditary,2018,90%,https://www.rottentomatoes.com/m/hereditary,Ari Aster,"Toni Collette,Gabriel Byrne,Alex Wolff,Ann Dowd"
The Witch,2015,90%,https://www.rottentomatoes.com/m/the_witch_2016,Robert Eggers,"Anya Taylor-Joy,Ralph Ineson,Kate Dickie,Harvey Scrimshaw"
Green Room,2015,90%,https://www.rottentomatoes.com/m/green_room_2016,Jeremy Saulnier,"Anton Yelchin,Imogen Poots,Alia Shawkat,Joe Cole"
A Most Violent Year,2014,90%,https://www.rottentomatoes.com/m/a_most_violent_year,J.C. Chandor,"Oscar Isaac,Jessica Chastain,David Oyelowo,Alessandro Nivola"
Gloria Bell,2018,90%,https://www.rottentomatoes.com/m/gloria_bell,Sebastián Lelio,"Julianne Moore,John Turturro,Michael Cera,Brad Garrett"
Red Rocket,2021,90%,https://www.rottentomatoes.com/m/red_rocket,Sean Baker,"Simon Rex,Suzanna Son,Bree Elrod,Brenda Deiss"
Lean on Pete,2017,90%,https://www.rottentomatoes.com/m/lean_on_pete,Andrew Haigh,"Charlie Plummer,Chloë Sevigny,Steve Zahn,Justin Rain"
Obvious Child,2014,90%,https://www.rottentomatoes.com/m/obvious_child,Gillian Robespierre,"Jenny Slate,Jake Lacy,Gaby Hoffmann,Gabe Liedman"
The Souvenir Part II,2021,90%,https://www.rottentomatoes.com/m/the_souvenir_part_ii,Joanna Hogg,"Honor Swinton Byrne,Jaygann Ayeh,Tilda Swinton,Richard Ayoade"
After Yang,2021,90%,https://www.rottentomatoes.com/m/after_yang,Kogonada,"Colin Farrell,Jodie Turner-Smith,Justin H. Min,Malea Emma Tjandrawidjaja"
The Souvenir,2019,90%,https://www.rottentomatoes.com/m/the_souvenir,Joanna Hogg,"Honor Swinton Byrne,Tom Burke,Tilda Swinton,Richard Ayoade"
God's Creatures,2022,89%,https://www.rottentomatoes.com/m/gods_creatures,Saela Davis,"Emily Watson,Paul Mescal,Aisling Franciosi,Declan Conlon"
The Green Knight,2021,89%,https://www.rottentomatoes.com/m/the_green_knight,David Lowery,"Dev Patel,Alicia Vikander,Joel Edgerton,Sarita Choudhury"
The Iron Claw,2023,89%,https://www.rottentomatoes.com/m/the_iron_claw_2023,Sean Durkin,"Zac Efron,Jeremy Allen White,Harris Dickinson,Stanley Simons"
All Dirt Roads Taste of Salt,2023,89%,https://www.rottentomatoes.com/m/all_dirt_roads_taste_of_salt,Raven Jackson,"Charleen McClure,Moses Ingram,Kaylee Nicole Johnson,Reginald Helms Jr."
It Comes at Night,2017,88%,https://www.rottentomatoes.com/m/it_comes_at_night,Trey Edward Shults,"Joel Edgerton,Christopher Abbott,Carmen Ejogo,Riley Keough"
Zola,2020,88%,https://www.rottentomatoes.com/m/zola,Janicza Bravo,"Taylour Paige,Riley Keough,Nicholas Braun,Colman Domingo"
20th Century Women,2016,88%,https://www.rottentomatoes.com/m/20th_century_women,Mike Mills,"Annette Bening,Elle Fanning,Greta Gerwig,Billy Crudup"
The Inspection,2022,88%,https://www.rottentomatoes.com/m/the_inspection,Elegance Bratton,"Jeremy Pope,Raúl Castillo,McCaul Lombardi,Aaron Dominguez"
Showing Up,2022,88%,https://www.rottentomatoes.com/m/showing_up_2022,Kelly Reichardt,"Michelle Williams,Hong Chau,Maryann Plunkett,John Magaro"
Problemista,2023,88%,https://www.rottentomatoes.com/m/problemista,Julio Torres,"Julio Torres,Tilda Swinton,RZA,Isabella Rossellini"
Morris From America,2016,88%,https://www.rottentomatoes.com/m/morris_from_america,Chad Hartigan,"Craig Robinson,Carla Juri,Lina Keller,Markees Christmas"
The Lobster,2015,87%,https://www.rottentomatoes.com/m/the_lobster,Yorgos Lanthimos,"Colin Farrell,Rachel Weisz,Léa Seydoux,John C. Reilly"
Lamb,2021,86%,https://www.rottentomatoes.com/m/lamb_2021,Valdimar Jóhannsson,"Noomi Rapace,Hilmir Snær Guðnason,Björn Hlynur Haraldsson,Ingvar Eggert Sigurðsson"
Bodies Bodies Bodies,2022,85%,https://www.rottentomatoes.com/m/bodies_bodies_bodies,Halina Reijn,"Amandla Stenberg,Maria Bakalova,Myha'la Herrold,Chase Sui Wonders"
Priscilla,2023,84%,https://www.rottentomatoes.com/m/priscilla,Sofia Coppola,"Cailee Spaeny,Jacob Elordi,Dagmara Domińczyk,Raine Monroe Boland"
Under the Skin,2013,84%,https://www.rottentomatoes.com/m/under_the_skin_2013,Jonathan Glazer,"Scarlett Johansson,Jeremy McWilliams,Lynsey Taylor Mackay,Dougie McConnell"
