,Title,Release Year,Rating,URL,Director,Cast,Audience Score,Genre,Duration,Box Office,Production Co
21,X,2022,R (Gore|Drug Use|Strong Sexual Content|Graphic Nudity|Language|Strong Bloody Violence),https://www.rottentomatoes.com/m/x_2022,Ti West,"Mia Goth,Jenna Ortega,Martin Henderson,Brittany Snow",75,Horror/Mystery&thriller,1h45m,$11.6M,"A24, 
                            
                            MAD SOLAR, 
                            
                            BRON Creative"
22,Room,2015,R (Language),https://www.rottentomatoes.com/m/room_2015,Lenny Abrahamson,"Brie Larson,Jacob Tremblay,Joan Allen,Sean Bridgers",93,Drama,1h58m,$14.7M,"Element Pictures, 
                            
                            No Trace Camping"
23,Pearl,2022,R,https://www.rottentomatoes.com/m/pearl_2022,Ti West,"Mia Goth,David Corenswet,Tandi Wright,Matthew Sunderland",83,Horror/Mystery&thriller,1h42m,$8.2M,"Universal Studios Inc., 
                            
                            A24, 
                            
                            BRON Creative, 
                            
                            Little Lamb"
24,The Zone of Interest,2023,PG-13 (Some Suggestive Material|Smoking|Thematic Material),https://www.rottentomatoes.com/m/the_zone_of_interest,Jonathan Glazer,"Christian Friedel,Sandra Hüller,Medusa Knopf,Daniel Holzberg",78,History/Drama,1h46m,$7.7M,"A24, 
                            
                            Access Entertainment, 
                            
                            Film4, 
                            
                            JW Films, 
                            
                            Extreme Emotions"
25,The Humans,2021,R (Language|Some Sexual Material),https://www.rottentomatoes.com/m/the_humans,Stephen Karam,"Richard Jenkins,Amy Schumer,Steven Yeun,Jayne Houdyshell",45,Holiday/Comedy,1h48m,,A24
26,Saint Maud,2019,,https://www.rottentomatoes.com/m/saint_maud,Rose Glass,"Morfydd Clark,Jennifer Ehle,Lily Frazer,Lily Knight",,,,,
27,Love Lies Bleeding,2024,R (Violence|Language Throughout|Grisly Images|Drug Use|Nudity|Sexual Content),https://www.rottentomatoes.com/m/love_lies_bleeding_2024,Rose Glass,"Kristen Stewart,Katy M. O'Brian,Ed Harris,Jena Malone",82,Mystery&thriller/Crime,1h44m,$7.7M,"A24, 
                            
                            Film4, 
                            
                            Escape Plan Productions, 
                            
                            Lobo Films"
28,Ex Machina,2014,R (Language|Graphic Nudity|Sexual References|Some Violence),https://www.rottentomatoes.com/m/ex_machina,Alex Garland,"Domhnall Gleeson,Oscar Isaac,Alicia Vikander,Sonoya Mizuno",86,Sci-fi/Mystery&thriller,1h48m,$25.4M,DNA Films
29,The Last Black Man in San Francisco,2019,,https://www.rottentomatoes.com/m/the_last_black_man_in_san_francisco,Joe Talbot,"Jimmie Fails,Jonathan Majors,Rob Morgan,Tichina Arnold",,,,,
30,The End of the Tour,2015,R (Some Sexual References|Language),https://www.rottentomatoes.com/m/the_end_of_the_tour_2015,James Ponsoldt,"Jesse Eisenberg,Jason Segel,Becky Ann Baker,Anna Chlumsky",82,Drama,1h46m,$3.0M,Anonymous Content
31,Slow West,2015,R (Violence|Brief Language),https://www.rottentomatoes.com/m/slow_west_2015,John Maclean,"Michael Fassbender,Kodi Smit-McPhee,Ben Mendelsohn,Caren Pistorius",74,Western/Mystery&thriller,1h31m,$215.6K,"DMC Film, 
                            
                            Rachel Gardner Films, 
                            
                            See-Saw Films"
32,A Prayer Before Dawn,2017,R (Language Throughout|Drug Use|A Brutal Rape Sequence|Some Sexual Content and Nudity|Strong Violence),https://www.rottentomatoes.com/m/a_prayer_before_dawn,Jean-Stéphane Sauvaire,"Joe Cole,Billy Moore,Pornchanok Mabklang,Panya Yimmumphai",75,Action/Mystery&thriller,1h57m,$14.5K,"Senorita Films, 
                            
                            HanWay Films, 
                            
                            Indochina Productions"
33,Dream Scenario,2023,R (Some Sexual Content|Language|Violence),https://www.rottentomatoes.com/m/dream_scenario,Kristoffer Borgli,"Nicolas Cage,Lily Bird,Julianne Nicholson,Jessica Clement",68,Comedy/Drama,1h42m,$4.9M,Square Peg
34,Close,2022,PG-13 (Suicide|Brief Strong Language|Thematic Material),https://www.rottentomatoes.com/m/close_2022,Lukas Dhont,"Eden Dambrine,Gustav De Waele,Émilie Dequenne,Léa Drucker",88,Drama,1h45m,,"Topkapi Films, 
                            
                            Menuet Producties, 
                            
                            Diaphana Films, 
                            
                            Versus Production"
35,The Disaster Artist,2017,R (Some Sexuality/Nudity|Language Throughout),https://www.rottentomatoes.com/m/the_disaster_artist,James Franco,"James Franco,Dave Franco,Seth Rogen,Zac Efron",85,Comedy/Drama,1h43m,$21.1M,"Rabbit Bandini Productions, 
                            
                            New Line Cinema, 
                            
                            Point Grey, 
                            
                            Good Universe"
36,Uncut Gems,2019,R (Pervasive Strong Language|Brief Drug Use|Some Sexual Content|Violence),https://www.rottentomatoes.com/m/uncut_gems,Benny Safdie,"Adam Sandler,LaKeith Stanfield,Julia Fox,Kevin Garnett",52,Mystery&thriller/Comedy,2h15m,$50.0M,"Elara Pictures, 
                            
                            Sikelia Productions, 
                            
                            Scott Rudin Productions"
37,Good Time,2017,R (Language Throughout|Drug Use|Sexual Content|Violence),https://www.rottentomatoes.com/m/good_time,Josh Safdie,"Robert Pattinson,Jennifer Jason Leigh,Barkhad Abdi,Benny Safdie",82,Mystery&thriller/Crime,1h41m,$2.0M,"Elara Pictures, 
                            
                            Rhea Films"
38,Locke,2013,R (Language Throughout),https://www.rottentomatoes.com/m/locke,Steven Knight,"Tom Hardy,Ruth Wilson,Andrew Scott,Tom Holland",72,Drama,1h24m,$1.4M,"IM Global, 
                            
                            Shoebox Films"
39,Gloria Bell,2018,R (Nudity|Language|Sexuality|Some Drug Use),https://www.rottentomatoes.com/m/gloria_bell,Sebastián Lelio,"Julianne Moore,John Turturro,Michael Cera,Brad Garrett",47,Romance/Comedy,1h42m,$5.6M,Fabula
40,The Spectacular Now,2013,R (All Involving Teens|Alcohol Use|Language|Some Sexuality),https://www.rottentomatoes.com/m/the_spectacular_now,James Ponsoldt,"Miles Teller,Shailene Woodley,Brie Larson,Jennifer Jason Leigh",76,Comedy/Drama,1h35m,$6.9M,Andrew Lauren Productions
41,In Fabric,2018,R (Strong Sexual Content|Some Bloody Images|A Scene of Aberrant Behavior),https://www.rottentomatoes.com/m/in_fabric,Peter Strickland,"Marianne Jean-Baptiste,Sidse Babett Knudsen,Hayley Squires,Leo Bill",52,Horror/Comedy,1h58m,$25.0K,"Rook Films, 
                            
                            BBC Films"
42,Mississippi Grind,2015,R (Language),https://www.rottentomatoes.com/m/mississippi_grind,Ryan Fleck,"Ryan Reynolds,Ben Mendelsohn,Sienna Miller,Lio Tipton",55,Drama,1h48m,$129.7K,"Electric City Entertainment, 
                            
                            Gowanus Projections"
